mode,n_particles,mpi_ranks,omp_threads,eps,n_per_leaf,create_seconds,eval_warmup_seconds,eval_min_seconds,eval_avg_seconds,eval_max_seconds,total_min_seconds,mpts_per_sec
pbc,500000,2,96,1e-03,500,32.436411,4.468392,2.744459,3.756463,4.266195,35.180870,0.182185
pbc,1000000,2,96,1e-03,500,33.376396,4.223971,3.676809,3.931680,4.120516,37.053205,0.271975
pbc,2000000,2,96,1e-03,500,27.337477,3.858747,4.695415,4.831909,5.075118,32.032892,0.425947
pbc,500000,2,96,1e-06,500,24.387985,4.268611,3.143166,3.663224,4.168017,27.531151,0.159075
pbc,1000000,2,96,1e-06,500,29.603367,5.110114,4.311738,4.921380,5.325605,33.915105,0.231925
pbc,2000000,2,96,1e-06,500,26.120470,4.568522,3.931457,5.083936,5.776284,30.051927,0.508717
pbc,500000,4,48,1e-03,500,65.517211,9.662690,8.501607,9.519352,10.182651,74.018818,0.058812
pbc,1000000,4,48,1e-03,500,68.183988,8.601481,7.319537,8.762058,10.506856,75.503525,0.136621
pbc,2000000,4,48,1e-03,500,64.665940,9.254104,9.087397,9.735730,10.799116,73.753337,0.220085
pbc,500000,4,48,1e-06,500,64.888394,9.397412,7.599816,9.411976,10.629340,72.488210,0.065791
pbc,1000000,4,48,1e-06,500,63.328464,9.468400,10.641334,10.666463,10.695053,73.969799,0.093973
pbc,2000000,4,48,1e-06,500,64.558461,9.940905,9.338100,10.151020,11.024633,73.896561,0.214176
pbc,500000,8,24,1e-03,500,87.015101,12.556603,12.317491,12.392783,12.440226,99.332592,0.040593
pbc,1000000,8,24,1e-03,500,86.833318,13.132707,12.708353,12.850080,13.001883,99.541671,0.078688
pbc,2000000,8,24,1e-03,500,87.825873,13.463013,13.549104,13.824027,14.068820,101.374977,0.147611
pbc,500000,8,24,1e-06,500,86.175473,12.670225,12.404620,12.524022,12.588223,98.580093,0.040308
pbc,1000000,8,24,1e-06,500,86.515006,14.112735,13.568367,13.748241,13.872329,100.083372,0.073701
pbc,2000000,8,24,1e-06,500,86.455818,14.833056,14.384756,14.645451,14.935693,100.840573,0.139036
pbc,500000,16,12,1e-03,500,116.447923,16.560428,16.359667,16.403837,16.456153,132.807591,0.030563
pbc,1000000,16,12,1e-03,500,116.619609,17.640331,17.412901,17.517377,17.613982,134.032510,0.057429
pbc,2000000,16,12,1e-03,500,117.652600,18.504826,18.340482,18.533350,18.717058,135.993082,0.109048
pbc,500000,16,12,1e-06,500,116.396357,16.984303,16.800131,17.029206,17.251289,133.196487,0.029762
pbc,1000000,16,12,1e-06,500,116.228137,19.508600,19.292326,19.343275,19.416312,135.520462,0.051834
pbc,2000000,16,12,1e-06,500,117.936340,21.220770,20.528447,20.669608,20.788381,138.464787,0.097426
