mode,n_particles,mpi_ranks,omp_threads,eps,n_per_leaf,create_seconds,eval_warmup_seconds,eval_min_seconds,eval_avg_seconds,eval_max_seconds,total_min_seconds,mpts_per_sec
pbc,500000,1,96,1e-03,500,0.146546,0.073522,0.057225,0.057788,0.058194,0.203771,8.737416
pbc,1000000,1,96,1e-03,500,0.177463,0.203219,0.172749,0.174197,0.175344,0.350212,5.788738
pbc,2000000,1,96,1e-03,500,0.430389,0.318518,0.283166,0.285714,0.287921,0.713555,7.063005
pbc,500000,1,96,1e-06,500,0.133889,0.133677,0.113269,0.113672,0.114414,0.247158,4.414264
pbc,1000000,1,96,1e-06,500,0.188189,0.404832,0.369113,0.373326,0.378882,0.557303,2.709196
pbc,2000000,1,96,1e-06,500,0.452327,0.527932,0.508712,0.520308,0.537234,0.961039,3.931497
pbc,500000,2,48,1e-03,500,15.332028,0.391580,2.781449,2.862437,2.905405,18.113477,0.179762
pbc,1000000,2,48,1e-03,500,10.130272,1.787903,1.752547,1.871612,1.990349,11.882820,0.570598
pbc,2000000,2,48,1e-03,500,11.256414,2.110821,1.214705,1.544297,2.161012,12.471119,1.646491
pbc,500000,2,48,1e-06,500,15.835099,0.510394,0.497947,1.337720,1.805564,16.333046,1.004122
pbc,1000000,2,48,1e-06,500,13.598329,2.403728,1.105843,1.887126,2.385864,14.704173,0.904287
pbc,2000000,2,48,1e-06,500,9.366364,2.416624,2.864512,3.010495,3.163368,12.230876,0.698199
pbc,500000,4,24,1e-03,500,30.144660,5.164281,4.991307,5.065804,5.127678,35.135967,0.100174
pbc,1000000,4,24,1e-03,500,30.125096,5.418160,5.255736,5.447620,5.580911,35.380832,0.190268
pbc,2000000,4,24,1e-03,500,31.280972,4.528934,5.161354,5.301836,5.551268,36.442326,0.387495
pbc,500000,4,24,1e-06,500,32.972676,4.268261,5.184002,5.243884,5.355978,38.156678,0.096451
pbc,1000000,4,24,1e-06,500,29.912841,5.139315,6.187799,6.233239,6.319192,36.100640,0.161608
pbc,2000000,4,24,1e-06,500,31.234694,6.476676,5.524605,5.823876,6.241005,36.759299,0.362017
pbc,500000,8,12,1e-03,500,49.699277,7.703079,7.421105,7.483445,7.527859,57.120382,0.067375
pbc,1000000,8,12,1e-03,500,49.285406,8.380645,7.806761,8.141028,8.308364,57.092167,0.128094
pbc,2000000,8,12,1e-03,500,50.474639,8.768775,8.876590,8.996868,9.061366,59.351229,0.225312
pbc,500000,8,12,1e-06,500,49.592330,7.912528,7.736214,7.856611,7.952843,57.328544,0.064631
pbc,1000000,8,12,1e-06,500,49.641641,9.738396,9.552940,9.704272,9.804322,59.194581,0.104680
pbc,2000000,8,12,1e-06,500,50.677361,10.856521,10.330867,10.606589,10.864616,61.008228,0.193595
