mode,n_particles,omp_threads_requested,omp_threads_actual,eps,n_per_leaf,create_seconds,eval_warmup_seconds,eval_min_seconds,eval_avg_seconds,eval_max_seconds,total_min_seconds,mpts_per_sec
free,200000,1,1,1e-03,500,0.271395,3.940506,1.644130,1.796405,1.948679,1.915525,0.121645
pbc,200000,1,1,1e-03,500,0.141757,2.087388,2.043243,2.046163,2.049083,2.185000,0.097884
