mode,n_particles,omp_threads_requested,omp_threads_actual,eps,n_per_leaf,create_seconds,eval_warmup_seconds,eval_min_seconds,eval_avg_seconds,eval_max_seconds,total_min_seconds,mpts_per_sec
free,200000,8,8,1e-03,500,0.105567,0.393059,0.361135,0.367824,0.374513,0.466702,0.553809
pbc,200000,8,8,1e-03,500,0.066229,0.394194,0.403950,0.410712,0.417473,0.470179,0.495110
